,participant_id,status,topic,response
1743,2487,student,parking,no_opinion
1744,2488,student,parking,1
1745,2489,wimi,parking,no_opinion
1746,2491,student,parking,2
1747,2492,student,parking,no_opinion
1748,2493,wimi,parking,0
1749,2494,student,parking,no_opinion
1750,2495,student,parking,0
1751,2497,student,parking,-2
1752,2499,wimi,parking,-2
1753,2500,student,parking,no_opinion
1754,2501,wimi,parking,no_opinion
1755,2502,student,parking,-1
1756,2504,student,parking,-1
1757,2505,student,parking,no_opinion
1758,2507,niwi,parking,-2
1759,2508,niwi,parking,-2
1760,2509,wimi,parking,no_opinion
1761,2510,student,parking,-1
1762,2511,student,parking,-2
1763,2515,niwi,parking,-2
1764,2517,niwi,parking,-1
1765,2519,niwi,parking,-1
1766,2520,niwi,parking,0
1767,2522,student,parking,-2
1768,2524,niwi,parking,no_opinion
1769,2525,niwi,parking,1
1770,2526,wimi,parking,-1
1771,2527,wimi,parking,no_opinion
1772,2529,student,parking,no_opinion
1773,2530,niwi,parking,1
1774,2532,student,parking,no_opinion
1775,2533,niwi,parking,-1
1776,2534,prof,parking,-2
1777,2535,student,parking,no_opinion
1778,2536,niwi,parking,1
1779,2537,student,parking,no_opinion
1780,2538,other,parking,no_opinion
1781,2539,student,parking,2
1782,2540,student,parking,0
1783,2542,niwi,parking,2
1784,2543,student,parking,1
1785,2544,niwi,parking,1
1786,2545,student,parking,-1
1787,2546,student,parking,0
1788,2547,student,parking,no_opinion
1789,2548,student,parking,2
1790,2549,prof,parking,no_opinion
1791,2550,student,parking,-1
1792,2551,niwi,parking,no_opinion
1793,2552,wimi,parking,2
1794,2553,student,parking,no_opinion
1795,2554,student,parking,0
1796,2556,wimi,parking,0
1797,2558,other,parking,-1
1798,2559,wimi,parking,0
1799,2560,student,parking,no_opinion
1800,2561,niwi,parking,0
1801,2562,student,parking,2
1802,2563,student,parking,-1
1803,2564,niwi,parking,-2
1804,2566,niwi,parking,-2
1805,2567,niwi,parking,no_opinion
1806,2569,student,parking,no_opinion
1807,2570,niwi,parking,0
1808,2571,student,parking,no_opinion
1809,2572,niwi,parking,no_opinion
1810,2574,student,parking,-1
1811,2577,student,parking,no_opinion
1812,2578,niwi,parking,0
1813,2579,niwi,parking,-1
1814,2580,student,parking,-1
1815,2581,wimi,parking,0
1816,2583,student,parking,0
1817,2584,student,parking,-2
1818,2585,niwi,parking,-2
1819,2586,niwi,parking,1
1820,2587,student,parking,-2
1821,2588,wimi,parking,no_opinion
1822,2590,wimi,parking,-2
1823,2591,wimi,parking,0
1824,2593,niwi,parking,2
1825,2594,student,parking,1
1826,2596,niwi,parking,2
1827,2597,wimi,parking,no_opinion
1828,2598,student,parking,no_opinion
1829,2599,wimi,parking,-1
1830,2600,niwi,parking,1
1831,2601,student,parking,0
1832,2602,wimi,parking,-2
1833,2604,student,parking,1
1834,2605,wimi,parking,-2
1835,2606,niwi,parking,-2
1836,2607,niwi,parking,0
1837,2608,niwi,parking,1
1838,2609,niwi,parking,-1
1839,2610,niwi,parking,-1
1840,2612,wimi,parking,-1
1841,2614,student,parking,1
1842,2618,niwi,parking,-1
1843,2619,niwi,parking,-2
1844,2620,student,parking,no_opinion
1845,2621,student,parking,-2
1846,2623,student,parking,0
1847,2624,student,parking,-1
1848,2625,student,parking,no_opinion
1849,2626,other,parking,-2
1850,2627,student,parking,no_opinion
1851,2628,student,parking,no_opinion
1852,2629,wimi,parking,0
1853,2630,student,parking,-1
1854,2631,student,parking,no_opinion
1855,2633,wimi,parking,0
1856,2634,wimi,parking,1
1857,2635,wimi,parking,-2
1858,2636,wimi,parking,-2
1859,2637,student,parking,-2
1860,2638,wimi,parking,no_opinion
1861,2639,student,parking,no_opinion
1862,2640,niwi,parking,2
1863,2641,prof,parking,no_answer
1864,2642,student,parking,no_opinion
1865,2643,student,parking,no_opinion
1866,2644,student,parking,no_opinion
1867,2645,wimi,parking,-1
1868,2647,student,parking,no_opinion
1869,2648,student,parking,0
1870,2649,student,parking,no_opinion
1871,2650,student,parking,1
1872,2651,student,parking,no_opinion
1873,2652,student,parking,-1
1874,2653,niwi,parking,no_opinion
1875,2654,student,parking,-1
1876,2655,niwi,parking,-2
1877,2657,student,parking,-1
1878,2659,student,parking,no_opinion
1879,2661,niwi,parking,-2
1880,2662,niwi,parking,-1
1881,2665,student,parking,1
1882,2666,student,parking,-1
1883,2667,student,parking,-1
1884,2669,student,parking,no_opinion
1885,2670,student,parking,-1
1886,2671,niwi,parking,-2
1887,2672,student,parking,2
1888,2673,student,parking,-1
1889,2674,niwi,parking,-1
1890,2675,student,parking,0
1891,2676,niwi,parking,0
1892,2678,student,parking,-1
1893,2680,niwi,parking,-1
1894,2681,niwi,parking,0
1895,2683,wimi,parking,no_opinion
1896,2684,niwi,parking,2
1897,2685,student,parking,0
1898,2686,student,parking,no_opinion
1899,2687,niwi,parking,no_opinion
1900,2688,student,parking,0
1901,2689,student,parking,no_opinion
1902,2690,student,parking,0
1903,2691,student,parking,1
1904,2692,student,parking,no_opinion
1905,2693,student,parking,1
1906,2694,wimi,parking,-2
1907,2695,student,parking,-1
1908,2696,student,parking,1
1909,2697,wimi,parking,-2
1910,2698,student,parking,no_opinion
1911,2700,student,parking,0
1912,2701,wimi,parking,-1
1913,2702,student,parking,no_opinion
1914,2703,prof,parking,-2
1915,2704,student,parking,-2
1916,2705,student,parking,no_opinion
1917,2706,niwi,parking,2
1918,2707,other,parking,1
1919,2709,student,parking,-1
1920,2710,student,parking,-1
1921,2711,wimi,parking,no_opinion
1922,2712,student,parking,0
1923,2713,student,parking,0
1924,2714,niwi,parking,-2
1925,2715,student,parking,1
1926,2716,student,parking,-2
1927,2717,student,parking,no_opinion
1928,2718,student,parking,-1
1929,2720,niwi,parking,0
1930,2721,wimi,parking,no_opinion
1931,2722,student,parking,no_opinion
1932,2723,niwi,parking,no_opinion
1933,2725,student,parking,no_opinion
1934,2726,student,parking,-1
1935,2727,niwi,parking,0
1936,2728,wimi,parking,0
1937,2729,student,parking,no_opinion
1938,2730,student,parking,1
1939,2731,prof,parking,-2
1940,2732,student,parking,-2
1941,2735,student,parking,0
1942,2736,student,parking,0
1943,2737,student,parking,2
1944,2738,student,parking,-2
1945,2739,student,parking,-1
1946,2740,student,parking,no_opinion
1947,2742,student,parking,-1
1948,2745,niwi,parking,0
1949,2746,student,parking,0
1950,2748,student,parking,-1
1951,2749,student,parking,no_opinion
1952,2751,wimi,parking,no_opinion
1953,2752,student,parking,-2
1954,2753,student,parking,no_opinion
1955,2754,student,parking,no_opinion
1956,2755,student,parking,no_opinion
1957,2756,student,parking,no_opinion
1958,2757,student,parking,no_opinion
1959,2759,student,parking,-1
1960,2760,student,parking,-1
1961,2761,student,parking,no_opinion
1962,2762,student,parking,-1
1963,2763,student,parking,1
1964,2764,student,parking,2
1965,2765,student,parking,no_opinion
1966,2766,niwi,parking,-1
1967,2767,student,parking,no_opinion
1968,2768,student,parking,0
1969,2771,student,parking,2
1970,2772,student,parking,-2
1971,2773,niwi,parking,0
1972,2774,student,parking,no_opinion
1973,2775,student,parking,no_opinion
1974,2776,wimi,parking,no_opinion
1975,2778,student,parking,-2
1976,2779,student,parking,0
1977,2780,student,parking,2
1978,2782,student,parking,1
1979,2783,student,parking,1
1980,2784,niwi,parking,-1
1981,2785,student,parking,-1
1982,2786,student,parking,0
1983,2787,niwi,parking,2
1984,2788,student,parking,0
1985,2789,niwi,parking,2
1986,2790,niwi,parking,-2
