,participant_id,status,topic,response
1457,2100,student,deutschlandticket,
1458,2103,student,deutschlandticket,
1459,2104,student,deutschlandticket,
1460,2105,student,deutschlandticket,
1461,2106,student,deutschlandticket,
1462,2107,student,deutschlandticket,
1463,2108,student,deutschlandticket,
1464,2109,student,deutschlandticket,
1465,2110,student,deutschlandticket,
1466,2111,student,deutschlandticket,
1467,2112,student,deutschlandticket,
1468,2113,student,deutschlandticket,
1469,2114,student,deutschlandticket,
1470,2115,student,deutschlandticket,
1471,2117,prof,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1472,2118,student,deutschlandticket,
1473,2122,student,deutschlandticket,
1474,2123,prof,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1475,2124,student,deutschlandticket,
1476,2125,student,deutschlandticket,
1477,2126,student,deutschlandticket,
1478,2127,student,deutschlandticket,
1479,2128,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1480,2129,student,deutschlandticket,
1481,2130,student,deutschlandticket,
1482,2132,student,deutschlandticket,
1483,2133,student,deutschlandticket,
1484,2134,student,deutschlandticket,Ja
1485,2136,student,deutschlandticket,
1486,2137,student,deutschlandticket,
1487,2138,student,deutschlandticket,
1488,2139,student,deutschlandticket,
1489,2140,student,deutschlandticket,
1490,2141,student,deutschlandticket,
1491,2142,student,deutschlandticket,
1492,2145,student,deutschlandticket,
1493,2146,prof,deutschlandticket,Nein
1494,2148,student,deutschlandticket,
1495,2149,student,deutschlandticket,
1496,2150,student,deutschlandticket,
1497,2153,student,deutschlandticket,
1498,2154,student,deutschlandticket,
1499,2157,student,deutschlandticket,
1500,2159,student,deutschlandticket,
1501,2160,student,deutschlandticket,
1502,2161,student,deutschlandticket,
1503,2163,student,deutschlandticket,
1504,2164,student,deutschlandticket,
1505,2165,student,deutschlandticket,
1506,2166,student,deutschlandticket,
1507,2168,prof,deutschlandticket,Nein
1508,2169,wimi,deutschlandticket,Nein
1509,2171,student,deutschlandticket,
1510,2172,student,deutschlandticket,
1511,2174,other,deutschlandticket,Kommt darauf an...
1512,2175,student,deutschlandticket,
1513,2176,student,deutschlandticket,
1514,2177,other,deutschlandticket,Nein
1515,2180,student,deutschlandticket,
1516,2181,wimi,deutschlandticket,Nein
1517,2183,student,deutschlandticket,
1518,2184,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1519,2185,student,deutschlandticket,
1520,2186,student,deutschlandticket,
1521,2187,student,deutschlandticket,
1522,2188,student,deutschlandticket,
1523,2189,student,deutschlandticket,
1524,2192,student,deutschlandticket,
1525,2193,student,deutschlandticket,
1526,2194,student,deutschlandticket,
1527,2195,student,deutschlandticket,
1528,2196,student,deutschlandticket,
1529,2197,student,deutschlandticket,
1530,2198,student,deutschlandticket,
1531,2200,student,deutschlandticket,
1532,2203,student,deutschlandticket,
1533,2204,student,deutschlandticket,
1534,2205,student,deutschlandticket,
1535,2206,student,deutschlandticket,
1536,2208,student,deutschlandticket,
1537,2209,niwi,deutschlandticket,Ja
1538,2210,niwi,deutschlandticket,Nein
1539,2212,other,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1540,2213,prof,deutschlandticket,Nein
1541,2214,student,deutschlandticket,
1542,2219,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1543,2221,student,deutschlandticket,
1544,2222,student,deutschlandticket,
1545,2223,student,deutschlandticket,
1546,2224,student,deutschlandticket,
1547,2225,student,deutschlandticket,
1548,2227,student,deutschlandticket,
1549,2228,student,deutschlandticket,Nein
1550,2229,student,deutschlandticket,
1551,2231,student,deutschlandticket,
1552,2232,student,deutschlandticket,
1553,2234,student,deutschlandticket,
1554,2235,student,deutschlandticket,
1555,2236,student,deutschlandticket,
1556,2238,student,deutschlandticket,
1557,2240,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1558,2241,prof,deutschlandticket,nicht beantwortet
1559,2242,student,deutschlandticket,
1560,2243,student,deutschlandticket,
1561,2244,student,deutschlandticket,
1562,2245,student,deutschlandticket,
1563,2246,student,deutschlandticket,
