,participant_id,status,main_vehicle,topic,response
4477,3132,student,,future,-2
4478,3135,student,bus,present,-1
4479,3135,student,bus,future,1
4480,3141,student,car-driver,present,1
4481,3141,student,car-driver,future,1
4482,3142,niwi,ebike,present,2
4483,3142,niwi,ebike,future,0
4484,3143,student,bus,present,1
4485,3143,student,bus,future,0
4486,3145,student,train-short,present,1
4487,3145,student,train-short,future,1
4488,3146,student,bus,present,1
4489,3146,student,bus,future,2
4490,3147,prof,train-short,present,1
4491,3147,prof,train-short,future,-2
4492,3149,wimi,train-short,present,2
4493,3149,wimi,train-short,future,0
4494,3150,niwi,car-passenger,present,no_answer
4495,3150,niwi,car-passenger,future,no_answer
4496,3151,niwi,car-driver,present,0
4497,3151,niwi,car-driver,future,0
4498,3152,student,car-driver,present,-1
4499,3152,student,car-driver,future,0
4500,3153,student,bus,present,-1
4501,3153,student,bus,future,-1
4502,3155,prof,car-driver,present,1
4503,3155,prof,car-driver,future,0
4504,3156,niwi,bicycle,present,2
4505,3156,niwi,bicycle,future,-2
4506,3157,student,walk,present,2
4507,3157,student,walk,future,no_opinion
4508,3158,niwi,car-driver,present,0
4509,3158,niwi,car-driver,future,1
4510,3159,student,car-driver,present,-1
4511,3159,student,car-driver,future,-1
4512,3160,student,bus,present,1
4513,3160,student,bus,future,-1
4514,3161,student,bus,present,1
4515,3161,student,bus,future,0
4516,3165,student,train-short,present,1
4517,3165,student,train-short,future,-1
4518,3168,student,bus,present,2
4519,3168,student,bus,future,-1
4520,3169,niwi,car-driver,present,no_opinion
4521,3169,niwi,car-driver,future,no_opinion
4522,3170,student,bicycle,present,2
4523,3170,student,bicycle,future,-2
4524,3171,wimi,walk,present,2
4525,3171,wimi,walk,future,-2
4526,3172,wimi,bicycle,present,2
4527,3172,wimi,bicycle,future,no_answer
4528,3173,niwi,car-driver,present,-2
4529,3173,niwi,car-driver,future,1
4530,3174,wimi,car-driver,present,-1
4531,3174,wimi,car-driver,future,1
4532,3175,niwi,car-driver,present,2
4533,3175,niwi,car-driver,future,0
4534,3176,student,car-passenger,present,-1
4535,3176,student,car-passenger,future,-1
4536,3177,student,bus,present,-1
4537,3177,student,bus,future,1
4538,3178,student,bus,present,1
4539,3178,student,bus,future,-1
4540,3179,student,ebike,present,2
4541,3179,student,ebike,future,-1
4542,3180,student,bus,present,1
4543,3180,student,bus,future,0
4544,3181,student,train-short,present,2
4545,3181,student,train-short,future,-1
4546,3182,niwi,car-driver,present,no_answer
4547,3182,niwi,car-driver,future,no_answer
4548,3183,niwi,walk,present,2
4549,3183,niwi,walk,future,no_answer
4550,3184,niwi,car-driver,present,2
4551,3184,niwi,car-driver,future,no_answer
4552,3185,niwi,car-driver,present,-2
4553,3185,niwi,car-driver,future,0
4554,3186,wimi,bus,present,0
4555,3186,wimi,bus,future,-1
4556,3188,student,car-driver,present,1
4557,3188,student,car-driver,future,1
4558,3190,wimi,car-driver,present,no_opinion
4559,3190,wimi,car-driver,future,-2
4560,3191,wimi,bicycle,present,2
4561,3191,wimi,bicycle,future,-1
4562,3193,other,car-driver,present,no_answer
4563,3193,other,car-driver,future,no_answer
4564,3194,student,bus,present,1
4565,3194,student,bus,future,0
4566,3195,niwi,car-driver,present,no_opinion
4567,3195,niwi,car-driver,future,no_opinion
4568,3196,prof,car-driver,present,-2
4569,3196,prof,car-driver,future,0
4570,3197,student,walk,present,1
4571,3197,student,walk,future,no_opinion
4572,3198,student,train-short,present,1
4573,3198,student,train-short,future,-1
